Wagon ID,Zone,Zone Name,Wagon Type,Temperature,Wheel,Brakes,Battery,GPS,Health Score,Status
WG00347,SW,South-West,BTPN,50°C,Fair,Good,91%,Weak,92%,Healthy
WG00348,SE,South-East,Tank,35°C,Good,Good,74%,Active,95%,Healthy
WG00349,SE,South-East,Covered,28°C,Good,Good,67%,Active,95%,Healthy
WG00350,NW,North-West,Hopper,32°C,Good,Worn,61%,Offline,77%,Warning
WG00351,S,South,BOXN,46°C,Good,Fair,44%,Active,77%,Warning
WG00352,NS,North-South,Tank,43°C,Good,Fair,69%,Active,87%,Warning
WG00353,WN,West-North,Tank,49°C,Good,Worn,41%,Active,67%,Critical
WG00354,E,East,Hopper,50°C,Fair,Good,73%,Offline,87%,Warning
WG00355,SW,South-West,Covered,54°C,Fair,Worn,41%,Active,59%,Critical
WG00356,S,South,BCN,37°C,Good,Fair,92%,Active,92%,Healthy
WG00357,NE,North-East,Hopper,55°C,Good,Good,27%,Active,75%,Warning
WG00358,S,South,Hopper,35°C,Good,Critical,87%,Offline,65%,Critical
WG00359,NE,North-East,Hopper,34°C,Good,Worn,44%,Offline,67%,Critical
WG00360,S,South,BTPN,49°C,Good,Good,37%,Active,75%,Warning
WG00361,SE,South-East,Tank,54°C,Good,Good,92%,Active,99%,Healthy
WG00362,E,East,Flat,30°C,Good,Good,41%,Active,85%,Warning
WG00363,E,East,BCN,28°C,Fair,Good,46%,Offline,77%,Warning
WG00364,N,North,BTPN,28°C,Fair,Good,71%,Active,87%,Warning
WG00365,NW,North-West,Covered,26°C,Fair,Fair,61%,Active,79%,Warning
WG00366,N,North,Flat,43°C,Good,Worn,55%,Active,67%,Critical
WG00367,S,South,Tank,30°C,Good,Worn,49%,Offline,67%,Critical
WG00368,NS,North-South,Hopper,24°C,Fair,Fair,84%,Active,84%,Warning
WG00369,W,West,Hopper,25°C,Critical,Worn,78%,Active,42%,Critical
WG00370,N,North,Hopper,35°C,Worn,Good,42%,Active,67%,Critical
WG00371,EW,East-West,BCN,46°C,Good,Good,72%,Active,95%,Healthy
WG00372,NS,North-South,Flat,36°C,Good,Fair,40%,Active,77%,Warning
WG00373,EW,East-West,BOXN,25°C,Good,Good,90%,Offline,99%,Healthy
WG00374,E,East,Flat,20°C,Worn,Worn,53%,Offline,49%,Critical
WG00375,ES,East-South,Covered,27°C,Good,Good,28%,Active,75%,Warning
WG00376,EW,East-West,BCN,24°C,Critical,Good,74%,Active,60%,Critical
WG00377,W,West,Covered,50°C,Worn,Fair,37%,Active,49%,Critical
WG00378,EW,East-West,Flat,30°C,Good,Worn,42%,Active,67%,Critical
WG00379,EW,East-West,BOXN,50°C,Fair,Good,42%,Active,77%,Warning
WG00380,W,West,Tank,40°C,Good,Good,35%,Active,75%,Warning
WG00381,ES,East-South,Flat,48°C,Good,Fair,92%,Active,92%,Healthy
WG00382,W,West,Tank,50°C,Good,Good,40%,Offline,85%,Warning
WG00383,S,South,BTPN,25°C,Good,Worn,83%,Active,82%,Warning
WG00384,NS,North-South,BOXN,24°C,Good,Good,93%,Active,99%,Healthy
WG00385,SW,South-West,Covered,21°C,Good,Good,43%,Active,85%,Warning
WG00386,SW,South-West,Flat,30°C,Good,Fair,98%,Active,92%,Healthy
WG00387,ES,East-South,Flat,53°C,Good,Good,71%,Active,95%,Healthy
WG00388,NS,North-South,BOXN,45°C,Good,Good,89%,Active,99%,Healthy
WG00389,E,East,BOXN,20°C,Critical,Good,74%,Active,60%,Critical
WG00390,WN,West-North,Hopper,36°C,Good,Fair,33%,Offline,67%,Critical
WG00391,SE,South-East,Tank,39°C,Fair,Fair,38%,Active,59%,Critical
WG00392,W,West,BTPN,25°C,Good,Good,30%,Active,75%,Warning
WG00393,ES,East-South,Covered,24°C,Critical,Good,84%,Active,65%,Critical
WG00394,N,North,Tank,23°C,Good,Fair,42%,Active,77%,Warning
WG00395,NE,North-East,BOXN,45°C,Good,Fair,62%,Offline,87%,Warning
WG00396,NW,North-West,BOXN,31°C,Good,Good,30%,Active,75%,Warning
WG00397,S,South,Covered,34°C,Good,Good,94%,Active,99%,Healthy
WG00398,EW,East-West,BCN,24°C,Good,Fair,61%,Weak,87%,Warning
WG00399,ES,East-South,BTPN,37°C,Good,Fair,67%,Active,87%,Warning
WG00400,SE,South-East,BOXN,31°C,Fair,Worn,76%,Active,69%,Critical
WG00401,ES,East-South,BOXN,48°C,Good,Good,48%,Weak,85%,Warning
WG00402,SE,South-East,BTPN,27°C,Good,Good,91%,Active,99%,Healthy
WG00403,W,West,Flat,38°C,Fair,Worn,80%,Active,74%,Warning
WG00404,EW,East-West,Covered,42°C,Good,Good,66%,Active,95%,Healthy
WG00405,W,West,Tank,47°C,Fair,Good,82%,Active,92%,Healthy
WG00406,W,West,BTPN,26°C,Good,Fair,69%,Weak,87%,Warning
WG00407,N,North,BCN,25°C,Good,Critical,80%,Weak,65%,Critical
WG00408,S,South,BTPN,38°C,Fair,Good,34%,Active,67%,Critical
WG00409,SW,South-West,Covered,35°C,Critical,Good,45%,Active,50%,Critical
WG00410,WN,West-North,BOXN,38°C,Good,Good,81%,Active,99%,Healthy
WG00411,EW,East-West,BCN,28°C,Good,Worn,71%,Offline,77%,Warning
WG00412,ES,East-South,BTPN,29°C,Fair,Fair,29%,Weak,59%,Critical
WG00413,NE,North-East,Covered,52°C,Good,Good,72%,Active,95%,Healthy
WG00414,NS,North-South,Covered,51°C,Good,Fair,71%,Active,87%,Warning
WG00415,EW,East-West,BOXN,26°C,Good,Good,39%,Active,75%,Warning
WG00416,NS,North-South,BCN,51°C,Good,Fair,96%,Active,92%,Healthy
WG00417,S,South,Hopper,30°C,Critical,Good,52%,Offline,50%,Critical
WG00418,WN,West-North,Hopper,33°C,Good,Good,87%,Offline,99%,Healthy
WG00419,E,East,BTPN,48°C,Good,Worn,34%,Active,57%,Critical
WG00420,NE,North-East,BTPN,25°C,Worn,Critical,36%,Offline,22%,Critical
WG00421,SW,South-West,BCN,22°C,Fair,Good,69%,Active,87%,Warning
WG00422,N,North,BTPN,22°C,Worn,Fair,63%,Offline,69%,Critical
WG00423,ES,East-South,BCN,31°C,Fair,Good,47%,Active,77%,Warning
WG00424,SE,South-East,BOXN,48°C,Fair,Good,50%,Active,77%,Warning
WG00425,W,West,Flat,48°C,Good,Good,71%,Active,95%,Healthy
WG00426,ES,East-South,BOXN,24°C,Good,Worn,95%,Active,82%,Warning
WG00427,ES,East-South,Covered,42°C,Critical,Fair,75%,Active,52%,Critical
WG00428,SW,South-West,BTPN,30°C,Worn,Good,77%,Offline,77%,Warning
WG00429,N,North,BCN,44°C,Fair,Good,65%,Active,87%,Warning
WG00430,NW,North-West,BCN,34°C,Good,Worn,69%,Active,77%,Warning
WG00431,E,East,Covered,24°C,Fair,Good,48%,Active,77%,Warning
WG00432,NE,North-East,BOXN,42°C,Worn,Good,32%,Active,57%,Critical
WG00433,W,West,BTPN,44°C,Good,Fair,45%,Active,77%,Warning
WG00434,SW,South-West,Covered,25°C,Worn,Worn,91%,Active,64%,Critical
WG00435,EW,East-West,BCN,22°C,Good,Fair,95%,Active,92%,Healthy
WG00436,SE,South-East,Flat,52°C,Good,Good,36%,Weak,75%,Warning
WG00437,NW,North-West,Hopper,47°C,Good,Fair,44%,Weak,77%,Warning
WG00438,NW,North-West,BTPN,47°C,Worn,Good,68%,Active,77%,Warning
WG00439,NE,North-East,Hopper,32°C,Good,Worn,28%,Active,57%,Critical
WG00440,NE,North-East,BOXN,24°C,Fair,Fair,58%,Active,69%,Critical
WG00441,NE,North-East,BCN,28°C,Good,Fair,28%,Active,67%,Critical
WG00442,EW,East-West,Tank,33°C,Good,Worn,63%,Active,77%,Warning
WG00443,SE,South-East,Tank,53°C,Good,Fair,63%,Offline,87%,Warning
WG00444,W,West,Tank,31°C,Good,Good,45%,Active,85%,Warning
WG00445,W,West,Flat,54°C,Good,Fair,43%,Active,77%,Warning
WG00446,S,South,BTPN,42°C,Critical,Good,69%,Active,60%,Critical
WG00447,NW,North-West,BTPN,27°C,Good,Good,96%,Active,99%,Healthy
WG00448,NW,North-West,Flat,22°C,Good,Good,82%,Active,99%,Healthy
WG00449,ES,East-South,Hopper,43°C,Worn,Good,74%,Offline,77%,Warning
WG00450,W,West,Hopper,31°C,Worn,Worn,45%,Active,49%,Critical
WG00451,NE,North-East,BOXN,46°C,Fair,Good,49%,Active,77%,Warning
WG00452,WN,West-North,Covered,52°C,Worn,Good,88%,Active,82%,Warning
WG00453,ES,East-South,Flat,51°C,Good,Critical,75%,Active,60%,Critical
WG00454,N,North,Tank,45°C,Good,Good,70%,Active,95%,Healthy
WG00455,WN,West-North,Flat,39°C,Good,Good,85%,Active,99%,Healthy
WG00456,NW,North-West,BOXN,23°C,Worn,Fair,42%,Active,59%,Critical
WG00457,NE,North-East,Covered,29°C,Good,Good,71%,Active,95%,Healthy
WG00458,EW,East-West,BTPN,46°C,Good,Good,71%,Active,95%,Healthy
WG00459,NE,North-East,Covered,40°C,Good,Critical,95%,Active,65%,Critical
WG00460,WN,West-North,Hopper,44°C,Good,Good,40%,Active,85%,Warning
WG00461,NE,North-East,Tank,26°C,Good,Good,68%,Active,95%,Healthy
WG00462,EW,East-West,Tank,26°C,Good,Good,90%,Active,99%,Healthy
WG00463,W,West,Covered,24°C,Worn,Good,67%,Offline,77%,Warning
WG00464,WN,West-North,Flat,44°C,Fair,Good,44%,Offline,77%,Warning
WG00465,SW,South-West,Hopper,43°C,Worn,Good,66%,Active,77%,Warning
WG00466,NS,North-South,Flat,41°C,Good,Good,63%,Active,95%,Healthy
WG00467,NW,North-West,Hopper,50°C,Fair,Good,87%,Active,92%,Healthy
WG00468,SE,South-East,Hopper,24°C,Good,Good,72%,Active,95%,Healthy
WG00469,SE,South-East,BCN,49°C,Fair,Fair,64%,Active,79%,Warning
WG00470,W,West,BOXN,46°C,Good,Good,28%,Active,75%,Warning
WG00471,SE,South-East,Hopper,43°C,Good,Good,98%,Active,99%,Healthy
WG00472,SE,South-East,BTPN,43°C,Fair,Fair,92%,Active,84%,Warning
WG00473,NS,North-South,BTPN,32°C,Worn,Good,43%,Active,67%,Critical
WG00474,SE,South-East,Tank,35°C,Good,Good,39%,Active,75%,Warning
WG00475,NE,North-East,BCN,40°C,Fair,Good,77%,Active,87%,Warning
WG00476,NW,North-West,BCN,26°C,Worn,Fair,85%,Active,74%,Warning
WG00477,SE,South-East,BTPN,34°C,Good,Good,42%,Offline,85%,Warning
WG00478,SW,South-West,BTPN,53°C,Good,Good,86%,Active,99%,Healthy
WG00479,ES,East-South,BTPN,46°C,Good,Good,93%,Active,99%,Healthy
WG00480,W,West,Hopper,24°C,Fair,Good,58%,Offline,77%,Warning
WG00481,S,South,BCN,45°C,Good,Good,56%,Weak,85%,Warning
WG00482,WN,West-North,BOXN,35°C,Fair,Fair,63%,Active,79%,Warning
WG00483,NW,North-West,BTPN,25°C,Good,Good,87%,Offline,99%,Healthy
WG00484,ES,East-South,BTPN,55°C,Good,Good,60%,Active,95%,Healthy
WG00485,W,West,Hopper,48°C,Worn,Critical,75%,Active,42%,Critical
WG00486,W,West,BOXN,34°C,Good,Critical,62%,Active,60%,Critical
WG00487,EW,East-West,Flat,42°C,Fair,Fair,81%,Active,84%,Warning
WG00488,E,East,Flat,41°C,Good,Good,93%,Active,99%,Healthy
WG00489,NW,North-West,Hopper,54°C,Fair,Fair,38%,Active,59%,Critical
WG00490,EW,East-West,Tank,24°C,Good,Good,92%,Active,99%,Healthy
WG00491,SW,South-West,Covered,24°C,Fair,Good,67%,Active,87%,Warning
WG00492,S,South,Flat,37°C,Critical,Critical,25%,Active,20%,Critical
WG00493,NS,North-South,Flat,48°C,Good,Good,85%,Offline,99%,Healthy
WG00494,N,North,Flat,50°C,Good,Good,66%,Active,95%,Healthy
WG00495,E,East,Hopper,51°C,Good,Fair,98%,Weak,92%,Healthy
WG00496,W,West,Covered,43°C,Worn,Good,29%,Offline,57%,Critical
WG00497,WN,West-North,BTPN,36°C,Worn,Good,47%,Active,67%,Critical
WG00498,WN,West-North,BCN,45°C,Good,Fair,88%,Offline,92%,Healthy
WG00499,WN,West-North,Covered,28°C,Worn,Good,62%,Offline,77%,Warning
WG00500,SW,South-West,BOXN,21°C,Fair,Worn,97%,Active,74%,Warning
